Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2019-11-01,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,300000,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2019-11-04,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2019-11-05,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0.0,,,,,,9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류)
2019-11-06,9.779999732971191,9.779999732971191,9.770000457763672,9.770000457763672,161200,0,0.0,,,,,,9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류)
2019-11-07,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0.0,,,,,,9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류)
2019-11-08,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0.0,,,,,,9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류)
2019-11-11,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,0,0.0,,,,,,9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류)
2019-11-12,10.119999885559082,10.119999885559082,10.119999885559082,10.119999885559082,400,0,0.0,,,,,100.0,9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류),9.7 - 9.8 (오류)
2019-11-13,10.125,10.125,10.125,10.125,282600,0,0.0,,,,,100.0,9.7 - 9.8 (62.0%),9.7 - 9.8 (62.0%),9.7 - 9.8 (62.0%),9.7 - 9.8 (62.0%)
2019-11-14,10.125,10.125,10.125,10.125,0,0,0.0,,,,,100.0,9.7 - 9.8 (62.0%),9.7 - 9.8 (62.0%),9.7 - 9.8 (62.0%),9.7 - 9.8 (62.0%)
2019-11-15,10.140000343322754,10.140000343322754,10.140000343322754,10.140000343322754,500,0,0.0,,,,,100.0,9.7 - 9.8 (61.9%),9.7 - 9.8 (61.9%),9.7 - 9.8 (61.9%),9.7 - 9.8 (61.9%)
2019-11-18,10.149999618530273,10.15999984741211,10.140000343322754,10.15999984741211,312600,0,0.0,,,,,100.0,10.1 - 10.2 (56.4%),10.1 - 10.2 (56.4%),10.1 - 10.2 (56.4%),10.1 - 10.2 (56.4%)
2019-11-19,9.819999694824219,9.819999694824219,9.800000190734863,9.800000190734863,532700,0,0.0,,,,,43.47,10.1 - 10.2 (37.5%),10.1 - 10.2 (37.5%),10.1 - 10.2 (37.5%),10.1 - 10.2 (37.5%)
2019-11-20,9.819999694824219,9.819999694824219,9.819999694824219,9.819999694824219,100,0,0.0,,,,,45.32,10.1 - 10.2 (37.5%),10.1 - 10.2 (37.5%),10.1 - 10.2 (37.5%),10.1 - 10.2 (37.5%)
2019-11-21,9.829999923706055,9.829999923706055,9.819999694824219,9.829999923706055,523500,0,0.0,,,,,46.27,9.8 - 9.9 (50.0%),9.8 - 9.9 (50.0%),9.8 - 9.9 (50.0%),9.8 - 9.9 (50.0%)
