Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2018-07-25,18.700000762939453,25.0,18.5,25.0,13709500,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2018-07-26,24.7450008392334,24.850000381469727,20.299999237060547,21.010000228881836,3628300,0,0.0,,,,,0.0,기간 부족,기간 부족,기간 부족,기간 부족
2018-07-27,21.200000762939453,23.0,21.200000762939453,22.600000381469727,1320700,0,0.0,,,,,2.97,24.8 - 25.2 (73.5%),24.9 - 25.2 (73.5%),24.9 - 25.2 (73.5%),24.9 - 25.2 (73.5%)
2018-07-30,22.75,24.0,22.649999618530273,23.850000381469727,1236300,0,0.0,,,,,5.36,24.8 - 25.2 (68.9%),24.9 - 25.2 (68.9%),24.9 - 25.2 (68.9%),24.9 - 25.2 (68.9%)
2018-07-31,24.030000686645508,26.43000030517578,22.75,23.049999237060547,2603400,0,0.0,,,,,5.27,24.8 - 25.2 (60.9%),24.9 - 25.2 (60.9%),24.9 - 25.2 (60.9%),24.9 - 25.2 (60.9%)
2018-08-01,23.670000076293945,24.799999237060547,22.600000381469727,23.5,952900,0,0.0,,,,,6.21,24.8 - 25.2 (58.5%),24.9 - 25.2 (58.5%),24.9 - 25.2 (58.5%),24.9 - 25.2 (58.5%)
2018-08-02,23.5,25.1200008392334,23.5,24.5,683500,0,0.0,,,,,8.4,24.8 - 25.2 (56.8%),24.9 - 25.2 (56.8%),24.9 - 25.2 (56.8%),24.9 - 25.2 (56.8%)
2018-08-03,24.6299991607666,27.100000381469727,24.5,26.799999237060547,904200,0,0.0,,,,,13.41,24.6 - 25.2 (54.8%),25.0 - 25.5 (54.8%),24.8 - 25.2 (54.8%),24.8 - 25.2 (54.8%)
2018-08-06,27.06999969482422,29.875,26.899999618530273,27.940000534057617,1523400,0,0.0,,,,,15.86,24.5 - 25.2 (54.2%),24.6 - 25.2 (51.6%),25.0 - 25.5 (51.6%),25.0 - 25.5 (51.6%)
2018-08-07,28.65999984741211,28.749000549316406,27.1299991607666,27.450000762939453,907300,0,0.0,,,,,15.66,24.5 - 25.2 (52.4%),24.6 - 25.2 (49.9%),25.0 - 25.5 (49.9%),25.0 - 25.5 (49.9%)
2018-08-08,27.889999389648438,28.25,26.5,28.149999618530273,1160200,0,0.0,,,,,17.3,24.5 - 25.2 (50.3%),24.6 - 25.2 (47.9%),25.0 - 25.5 (47.9%),25.0 - 25.5 (47.9%)
2018-08-09,28.0,28.030000686645508,26.600000381469727,26.719999313354492,402900,0,0.0,,,,,16.59,24.5 - 25.2 (49.6%),24.6 - 25.2 (47.2%),25.0 - 25.5 (47.2%),25.0 - 25.5 (47.2%)
2018-08-10,26.84000015258789,28.0,26.299999237060547,27.649999618530273,431500,0,0.0,,,,,18.93,24.5 - 25.2 (48.8%),24.6 - 25.2 (46.5%),25.0 - 25.5 (46.5%),25.0 - 25.5 (46.5%)
2018-08-13,27.649999618530273,27.649999618530273,24.709999084472656,24.760000228881836,711300,0,0.0,,,,,17.31,24.5 - 25.2 (50.1%),24.6 - 25.2 (47.8%),25.0 - 25.5 (45.4%),25.0 - 25.5 (45.4%)
2018-08-14,25.100000381469727,25.863000869750977,25.0,25.510000228881836,300800,0,0.0,,,,,19.24,24.5 - 25.2 (49.6%),24.6 - 25.2 (47.3%),25.0 - 25.5 (45.0%),25.0 - 25.5 (45.0%)
2018-08-15,25.799999237060547,25.799999237060547,22.780000686645508,22.90999984741211,822300,0,0.0,,,,,17.7,22.4 - 23.1 (27.0%),24.6 - 25.2 (46.1%),25.0 - 25.5 (43.8%),25.0 - 25.5 (43.8%)
2018-08-16,23.5,23.920000076293945,22.899999618530273,23.1299991607666,567400,0,0.0,,,,,18.29,22.8 - 23.4 (27.5%),24.6 - 25.2 (45.3%),25.0 - 25.5 (43.0%),25.0 - 25.5 (43.0%)
