Date,Open,High,Low,Close,Volume
2006-04-12,22.7625,23.0804,22.6096,22.8884,4662747
2006-04-13,22.6975,22.8154,22.446,22.8091,4186240
2006-04-17,23.2624,23.8866,23.1955,23.8308,6709097
2006-04-18,23.9962,24.2485,23.8154,24.0859,6787970
2006-04-19,24.1608,24.6672,23.8154,24.616,8063814
2006-04-20,24.4561,24.4641,23.3069,23.3224,8634493
2006-04-21,23.7038,24.0987,23.4963,23.8627,6822096
2006-04-24,23.8627,24.02,23.2468,23.6399,4881668
2006-04-25,24.0356,24.3627,23.8154,23.9158,3675596
2006-04-26,24.2075,24.3281,23.9231,24.1744,3884906
2006-04-27,23.7678,24.5163,23.3556,23.4031,5954515
2006-04-28,23.7833,24.3042,23.648,24.1123,5601240
2006-05-01,24.487,24.616,24.2075,24.5236,4839954
2006-05-02,24.5911,24.9852,24.1525,24.6745,6458580
2006-05-03,24.943,24.943,24.1981,24.5492,7686769
2006-05-04,24.9201,26.6394,24.8901,26.1733,14742452
2006-05-05,26.4167,27.3669,26.4167,27.0498,12962038
2006-05-08,26.7262,26.8761,26.3433,26.8761,6636930
2006-05-09,27.2235,27.6913,27.1055,27.5854,9478817
2006-05-10,27.6759,27.8751,27.1282,27.8751,8828255
2006-05-11,28.2984,28.505,27.2143,27.2719,8763667
2006-05-12,27.3359,27.5589,26.0362,26.5855,8364635
2006-05-15,25.5618,26.1258,25.198,25.5071,10391141
2006-05-16,25.645,26.0205,24.6523,25.5307,9078645
2006-05-17,25.7092,26.1816,24.4092,24.4641,11921419
2006-05-18,24.541,24.9359,24.0356,24.1608,7896595
2006-05-19,23.7339,24.275,23.2679,24.1744,11021603
2006-05-22,23.6563,24.4468,23.1955,24.3454,8329630
2006-05-23,24.5737,25.2922,24.5236,24.6306,8700344
2006-05-24,24.062,24.5008,23.5119,23.7833,9511045
2006-05-25,24.1287,24.5737,24.02,24.4726,7017379
2006-05-26,24.4468,24.4943,24.02,24.423,5940992
2006-05-30,24.7631,24.8453,24.105,24.275,6242063
2006-05-31,24.4149,24.616,23.9003,24.2145,5504421
2006-06-01,23.7742,24.3948,23.3957,24.232,6253444
2006-06-02,24.5987,24.6068,24.169,24.2821,5806506
2006-06-05,24.3709,24.5492,23.1791,23.7987,5892706
2006-06-06,23.4196,23.648,23.2373,23.3008,6263049
2006-06-07,23.0255,23.5612,22.69,22.7851,5984472
2006-06-08,22.3902,22.5578,21.3604,22.2861,10843895
2006-06-09,22.5888,22.871,22.067,22.2212,4613581
2006-06-12,22.3182,22.5484,21.8291,21.8502,5117523
2006-06-13,21.4107,21.6795,21.1885,21.2736,10954361
2006-06-14,21.575,21.9133,21.1236,21.5194,7453699
2006-06-15,22.1154,22.2469,21.7562,22.1875,8973360
2006-06-16,21.9619,22.1154,21.7725,21.9288,5918114
2006-06-19,21.6795,21.9288,21.4409,21.5359,5910406
2006-06-20,21.7562,22.2306,21.598,21.8666,3961127
2006-06-21,21.8666,22.5319,21.8502,22.4067,4824284
2006-06-22,22.2946,22.341,21.8128,22.0577,4478211
2006-06-23,21.8366,22.4134,21.6464,22.3092,3900202
2006-06-26,22.3902,22.4863,22.1154,22.446,2758721
2006-06-27,22.6263,22.65,21.9937,22.0018,3864686
2006-06-28,22.2616,22.2946,21.7879,21.9937,3834724
2006-06-29,22.4544,23.1865,22.2946,23.1617,7216329
2006-06-30,23.4963,23.7742,23.2915,23.4196,5413034
2006-07-03,23.893,24.1379,23.6251,24.1287,2412392
2006-07-05,24.169,24.2239,23.3556,23.7504,4421459
2006-07-06,23.7504,24.1205,23.5922,23.8712,3206035
2006-07-07,23.8712,24.2075,23.6563,23.8236,4450664
2006-07-10,23.5757,23.9323,23.3711,23.7906,3284905
2006-07-11,23.9323,24.2821,23.742,24.169,4274206
2006-07-12,24.2916,24.5236,23.7038,23.9397,5816238
2006-07-13,23.9397,23.9962,23.1151,23.2131,6455803
2006-07-14,23.4642,24.0282,23.3482,24.0035,4708633
2006-07-17,23.6563,24.0987,23.2915,23.3154,6433683
2006-07-18,23.34,23.5201,22.746,22.9835,5542086
2006-07-19,22.9835,23.6884,22.9205,23.648,4104462
2006-07-20,23.5365,23.6399,22.6819,22.7138,5349711
2006-07-21,22.9297,22.9379,22.2946,22.3731,6503327
2006-07-24,22.0842,22.7285,21.8428,22.5658,5007050
2006-07-25,22.8474,23.3957,22.65,23.2468,4960413
2006-07-26,23.1389,23.7504,22.9754,23.7194,4403511
2006-07-27,24.1816,24.4468,23.2373,23.4196,6320556
2006-07-28,23.4414,24.1744,23.4414,24.1525,5254158
2006-07-31,24.0777,24.4092,23.8549,24.3709,4509308
