Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2025-06-05,69.0,103.75,64.0,83.2300033569336,47192000,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2025-06-06,96.38999938964844,123.51499938964844,92.94999694824219,107.69999694824219,60706300,0,0.0,,,,,100.0,기간 부족,기간 부족,기간 부족,기간 부족
2025-06-09,132.72000122070312,138.57000732421875,108.4000015258789,115.25,45521100,0,0.0,,,,,100.0,105.6 - 108.8 (39.6%),105.3 - 108.0 (39.6%),107.5 - 110.0 (39.6%),107.1 - 109.2 (39.6%)
2025-06-10,115.0,115.0,101.51000213623047,105.91000366210938,25517800,0,0.0,,,,,97.0,105.6 - 108.8 (48.2%),105.3 - 108.0 (48.2%),107.5 - 110.0 (33.9%),107.1 - 109.2 (33.9%)
2025-06-11,107.0,120.48999786376953,106.5,117.19999694824219,26481400,0,0.0,,,,,97.12,105.4 - 108.8 (42.0%),114.8 - 117.6 (35.1%),106.6 - 109.2 (29.6%),105.8 - 108.1 (42.0%)
2025-06-12,116.79000091552734,117.93099975585938,104.26000213623047,106.54000091552734,13416500,0,0.0,,,,,93.55,105.4 - 108.8 (45.5%),106.4 - 109.2 (33.9%),106.6 - 109.2 (27.7%),105.8 - 108.1 (45.5%)
2025-06-13,108.80999755859375,134.72000122070312,108.80000305175781,133.55999755859375,34013600,0,0.0,,,,,94.13,105.0 - 110.0 (39.4%),105.0 - 109.2 (39.4%),105.3 - 109.2 (39.4%),105.4 - 108.8 (39.4%)
2025-06-16,147.5399932861328,165.60000610351562,145.8800048828125,151.05999755859375,43781500,0,0.0,,,,,94.49,102.0 - 108.8 (33.6%),102.6 - 108.3 (33.6%),104.0 - 109.2 (33.6%),103.5 - 108.0 (33.6%)
2025-06-17,156.36000061035156,164.4199981689453,143.52999877929688,149.14999389648438,31234200,0,0.0,,,,,93.83,102.0 - 108.8 (30.4%),102.6 - 108.3 (30.4%),104.0 - 109.2 (30.4%),103.5 - 108.0 (30.4%)
2025-06-18,153.22000122070312,200.89999389648438,148.0,199.58999633789062,63566800,0,0.0,,,,,94.85,104.4 - 116.0 (37.1%),106.7 - 116.4 (27.1%),99.0 - 108.0 (25.5%),101.4 - 109.2 (25.5%)
2025-06-20,231.5,248.8800048828125,206.1699981689453,240.27999877929688,92427200,0,0.0,,,,,95.5,94.2 - 109.9 (20.6%),104.8 - 117.9 (35.5%),96.8 - 108.9 (20.6%),105.0 - 115.5 (30.0%)
