Date,Open,High,Low,Close,Volume,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2019-09-13,9.779999732971191,9.800000190734863,9.779999732971191,9.800000190734863,300,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2019-09-16,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2019-09-17,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,,,,,,9.8 - 9.9 (오류),9.8 - 9.9 (오류),9.8 - 9.9 (오류),9.8 - 9.9 (오류)
2019-09-18,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,,,,,,9.8 - 9.9 (오류),9.8 - 9.9 (오류),9.8 - 9.9 (오류),9.8 - 9.9 (오류)
2019-09-19,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,600,,,,,100.0,9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%)
2019-09-20,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0,,,,,100.0,9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%)
2019-09-23,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0,,,,,100.0,9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%)
2019-09-24,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0,,,,,100.0,9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%)
2019-09-25,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0,,,,,100.0,9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%),9.9 - 10.0 (66.7%)
2019-09-26,9.949999809265137,9.949999809265137,9.899999618530273,9.899999618530273,200,,,,,67.44,9.9 - 10.0 (54.5%),9.9 - 10.0 (54.5%),9.9 - 10.0 (54.5%),9.9 - 10.0 (54.5%)
