Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2021-01-04,11.125,11.25,10.5,10.800000190734863,150500,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2021-01-05,10.850000381469727,11.829999923706055,10.75,11.109999656677246,165300,0,0.0,,,,,100.0,기간 부족,기간 부족,기간 부족,기간 부족
2021-01-06,11.5,11.5,11.0,11.050000190734863,175600,0,0.0,,,,,98.53,11.0 - 11.1 (35.7%),11.0 - 11.1 (35.7%),11.0 - 11.1 (35.7%),11.0 - 11.1 (35.7%)
2021-01-07,11.5,11.5,11.050000190734863,11.109999656677246,94200,0,0.0,,,,,98.56,11.1 - 11.2 (44.3%),11.1 - 11.2 (44.3%),11.1 - 11.2 (44.3%),11.1 - 11.2 (44.3%)
2021-01-08,11.649999618530273,12.350000381469727,11.0,11.010000228881836,137500,0,0.0,,,,,95.88,11.0 - 11.1 (43.3%),11.0 - 11.1 (43.3%),11.0 - 11.1 (43.3%),11.0 - 11.1 (43.3%)
2021-01-11,11.800000190734863,11.800000190734863,10.800000190734863,11.170000076293945,162600,0,0.0,,,,,96.06,11.1 - 11.2 (47.7%),11.1 - 11.2 (47.7%),11.1 - 11.2 (47.7%),11.1 - 11.2 (47.7%)
2021-01-12,11.800000190734863,11.800000190734863,11.069999694824219,11.180000305175781,210700,0,0.0,,,,,96.08,11.1 - 11.2 (57.7%),11.1 - 11.2 (57.7%),11.1 - 11.2 (57.7%),11.1 - 11.2 (57.7%)
2021-01-13,11.34000015258789,11.369999885559082,10.970000267028809,11.199999809265137,386100,0,0.0,,,,,96.1,11.1 - 11.2 (68.7%),11.1 - 11.2 (68.7%),11.1 - 11.2 (68.7%),11.1 - 11.2 (68.7%)
2021-01-14,11.3100004196167,11.699999809265137,11.225000381469727,11.4399995803833,291000,0,0.0,,,,,96.4,11.1 - 11.2 (57.5%),11.1 - 11.2 (57.5%),11.1 - 11.2 (57.5%),11.1 - 11.2 (57.5%)
2021-01-15,11.569999694824219,11.789999961853027,11.109999656677246,11.220000267028809,269600,0,0.0,,,,,89.62,11.1 - 11.2 (49.9%),11.1 - 11.2 (49.9%),11.1 - 11.2 (49.9%),11.1 - 11.2 (49.9%)
2021-01-19,11.399999618530273,11.479999542236328,11.09000015258789,11.319999694824219,573900,0,0.0,,,,,89.97,11.1 - 11.2 (38.9%),11.1 - 11.2 (38.9%),11.1 - 11.2 (38.9%),11.1 - 11.2 (38.9%)
2021-01-20,11.329999923706055,11.449999809265137,11.25,11.319999694824219,434000,0,0.0,,,,,89.97,11.1 - 11.2 (33.4%),11.1 - 11.2 (33.4%),11.1 - 11.2 (33.4%),11.1 - 11.2 (33.4%)
2021-01-21,11.390000343322754,11.720000267028809,11.239999771118164,11.5,401600,0,0.0,,,,,90.62,11.1 - 11.2 (29.5%),11.1 - 11.2 (29.5%),11.1 - 11.2 (29.5%),11.1 - 11.2 (29.5%)
2021-01-22,11.550000190734863,12.199999809265137,11.5,12.0,503900,0,0.0,,,,,92.14,11.1 - 11.2 (25.8%),11.1 - 11.2 (25.8%),11.1 - 11.2 (25.8%),11.1 - 11.2 (25.8%)
2021-01-25,12.5,12.579999923706055,11.800000190734863,12.09000015258789,621100,0,0.0,,,,,92.38,12.0 - 12.1 (25.4%),12.0 - 12.1 (24.6%),12.0 - 12.1 (24.6%),12.0 - 12.1 (24.6%)
