Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2021-11-17,28.0,28.25,21.459999084472656,24.450000762939453,5815300,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2021-11-18,24.309999465942383,25.059999465942383,21.68000030517578,23.399999618530273,1145900,0,0.0,,,,,0.0,기간 부족,기간 부족,기간 부족,기간 부족
2021-11-19,23.770000457763672,25.1299991607666,23.049999237060547,24.799999237060547,986400,0,0.0,,,,,9.3,24.4 - 24.5 (73.2%),24.4 - 24.5 (73.2%),24.4 - 24.5 (73.2%),24.4 - 24.5 (73.2%)
2021-11-22,25.0,25.209999084472656,22.084999084472656,22.639999389648438,1123600,0,0.0,,,,,8.06,24.4 - 24.6 (64.1%),24.4 - 24.6 (64.1%),24.4 - 24.6 (64.1%),24.4 - 24.5 (64.1%)
2021-11-23,22.5,24.0,20.8799991607666,21.0,474900,0,0.0,,,,,7.26,24.4 - 24.8 (71.3%),24.3 - 24.6 (60.9%),24.3 - 24.6 (60.9%),24.3 - 24.6 (60.9%)
2021-11-24,21.0,21.049999237060547,18.829999923706055,20.06999969482422,442200,0,0.0,,,,,6.85,24.0 - 24.5 (58.2%),24.4 - 24.8 (68.1%),24.4 - 24.8 (68.1%),24.3 - 24.6 (58.2%)
2021-11-26,19.450000762939453,20.920000076293945,18.829999923706055,18.989999771118164,216600,0,0.0,,,,,6.39,24.0 - 24.6 (57.0%),24.0 - 24.5 (57.0%),24.4 - 24.8 (66.7%),24.4 - 24.8 (66.7%)
2021-11-29,19.200000762939453,19.916000366210938,18.913000106811523,19.059999465942383,295300,0,0.0,,,,,6.83,24.0 - 24.6 (55.4%),24.0 - 24.5 (55.4%),24.4 - 24.8 (64.8%),24.4 - 24.8 (64.8%)
2021-11-30,19.15999984741211,19.308000564575195,17.1299991607666,18.149999618530273,640600,0,0.0,,,,,6.41,23.8 - 24.5 (52.2%),24.0 - 24.6 (52.2%),24.0 - 24.5 (52.2%),24.4 - 24.8 (61.1%)
2021-12-01,17.850000381469727,19.299999237060547,17.850000381469727,18.469999313354492,338600,0,0.0,,,,,8.51,23.8 - 24.5 (50.7%),24.0 - 24.6 (50.7%),24.0 - 24.5 (50.7%),24.4 - 24.8 (59.3%)
2021-12-02,18.239999771118164,19.0,16.937999725341797,17.260000228881836,179300,0,0.0,,,,,7.8,24.0 - 24.8 (58.3%),24.0 - 24.6 (49.9%),24.0 - 24.6 (49.9%),24.0 - 24.5 (49.9%)
2021-12-03,17.1299991607666,17.5,15.0600004196167,15.430000305175781,459700,0,0.0,,,,,6.86,24.3 - 25.2 (56.1%),24.0 - 24.8 (56.1%),23.8 - 24.5 (48.0%),24.0 - 24.6 (48.0%)
2021-12-06,15.199999809265137,16.040000915527344,14.279999732971191,15.359999656677246,376400,0,0.0,,,,,6.83,24.3 - 25.2 (54.4%),24.0 - 24.8 (54.4%),23.8 - 24.5 (46.5%),24.0 - 24.6 (46.5%)
2021-12-07,15.819999694824219,16.729999542236328,15.670000076293945,16.18000030517578,373300,0,0.0,,,,,12.28,24.3 - 25.2 (52.9%),24.0 - 24.8 (52.9%),23.8 - 24.5 (45.2%),24.0 - 24.6 (45.2%)
2021-12-08,16.690000534057617,16.8700008392334,14.819999694824219,15.520000457763672,305500,0,0.0,,,,,11.68,22.5 - 23.4 (30.8%),24.0 - 24.8 (51.6%),23.8 - 24.5 (44.1%),24.0 - 24.6 (44.1%)
2021-12-09,15.609999656677246,16.0,13.899999618530273,14.859999656677246,391700,0,0.0,,,,,11.11,18.0 - 19.0 (18.1%),24.0 - 24.8 (50.1%),24.0 - 24.8 (50.1%),23.8 - 24.5 (42.9%)
2021-12-10,14.75,15.199999809265137,13.119999885559082,14.399999618530273,600900,0,0.0,,,,,10.71,15.2 - 16.0 (18.4%),24.3 - 25.2 (48.0%),24.0 - 24.8 (48.0%),23.8 - 24.5 (41.1%)
2021-12-13,14.520000457763672,14.520000457763672,13.5,13.520000457763672,605300,0,0.0,,,,,9.98,14.7 - 15.4 (13.5%),24.3 - 25.2 (46.0%),24.3 - 25.2 (46.0%),24.0 - 24.8 (46.0%)
2021-12-14,13.5,13.539999961853027,12.5,12.989999771118164,338700,0,0.0,,,,,9.55,14.7 - 15.4 (13.8%),24.0 - 25.0 (45.0%),24.3 - 25.2 (45.0%),24.0 - 24.8 (45.0%)
