Date,Open,High,Low,Close,Volume
2024-09-19,429.4,435.6,375.8,400.432,1634
2024-09-20,405.6,416.0,391.6,402.0,4854
2024-09-23,385.0,397.0,363.42,372.4,917
2024-09-24,367.8,380.4,351.2,352.06,1927
2024-09-25,359.2,362.0,334.2,360.394,2446
2024-09-26,333.8,339.2,287.6,296.2,7111
2024-09-27,282.0,283.2,246.8,255.0,19877
2024-09-30,279.6,283.2,260.0,280.2,22408
2024-10-01,279.8,317.4,277.6,299.8,23813
2024-10-02,308.6,311.6,260.0,293.4,22873
2024-10-03,298.4,317.0,290.43,296.6,7235
2024-10-04,286.0,294.8,250.0,250.0,23901
2024-10-07,240.6,242.8,207.2,223.0,78515
2024-10-08,222.8,226.448,193.2,208.6,82839
2024-10-09,214.2,222.8,195.398,215.0,97531
2024-10-10,206.8,239.9,206.8,227.2,75741
2024-10-11,215.4,217.2,155.4,155.6,202281
2024-10-14,138.4,171.2,134.214,170.2,237398
2024-10-15,162.8,191.0,155.2,183.2,208871
2024-10-16,172.4,188.2,171.6,183.6,106832
2024-10-17,185.0,199.4,175.0,184.4,111776
2024-10-18,177.0,178.0,137.2,143.0,228618
2024-10-21,144.8,152.0,132.6,138.2,197448
2024-10-22,141.6,146.6,135.4,137.4,142216
2024-10-23,143.6,155.6,133.6,144.4,222912
2024-10-24,136.2,139.0,116.0,116.8,306355
2024-10-25,115.0,122.4,105.8,116.3,417359
2024-10-28,106.0,107.4,91.8,95.8,425895
2024-10-29,89.2,98.6,86.6,93.3,723189
2024-10-30,101.6,107.196,95.024,101.1,771918
2024-10-31,98.0,109.398,96.798,103.4,860418
2024-11-01,102.8,119.0,94.034,115.8,788571
2024-11-04,119.2,124.8,114.0,122.8,390307
2024-11-05,111.4,120.0,100.4,117.3,549351
2024-11-06,84.1,101.576,83.4,86.0,791815
2024-11-07,87.0,89.4,70.8,77.1,859446
2024-11-08,75.4,82.0,72.624,77.4,706917
2024-11-11,62.6,64.58,31.3,37.9,3032452
2024-11-12,39.0,41.0,33.2,33.8,3842814
2024-11-13,32.168,40.4,29.0,39.2,5743442
2024-11-14,35.9,41.6,34.6,39.2,3431861
2024-11-15,37.224,40.4,34.0,36.2,2647946
2024-11-18,35.4,36.588,26.2,27.0,4843199
2024-11-19,26.03,27.4,18.0,20.2,7358428
2024-11-20,17.498,17.92,13.45,16.256,20844383
2024-11-21,12.286,23.2,12.0,21.4,17920295
2024-11-22,20.842,22.0,15.696,18.934,40421270
2024-11-25,17.384,22.4,17.382,20.4,28643508
2024-11-26,22.7,27.2,20.6,25.6,26754659
