Date,Open,High,Low,Close,Volume
2006-04-11,15.2644,15.2982,14.9453,14.9891,31721639
2006-04-12,14.9891,15.0378,14.7694,14.8469,13485218
2006-04-13,14.833,14.9255,14.8171,14.8668,6030410
2006-04-17,14.8757,15.0298,14.8757,14.8897,8174433
2006-04-18,14.9741,15.2783,14.9533,15.2425,11279129
2006-04-19,15.1232,15.3757,15.1084,15.3757,12198238
2006-04-20,16.1758,16.2554,15.9781,16.1341,33740825
2006-04-21,16.5506,16.6013,16.1341,16.1848,20749728
2006-04-24,16.0347,16.1341,15.9443,16.1282,17395779
2006-04-25,16.2266,16.2614,15.9841,16.0277,11680081
2006-04-26,16.2206,16.2832,16.1758,16.2266,12432505
2006-04-27,16.0775,16.3249,16.0139,16.2743,10753762
2006-04-28,16.155,16.2206,16.0277,16.0277,8283577
2006-05-01,16.0695,16.1341,16.0139,16.0277,7902276
2006-05-02,16.0973,16.161,16.0566,16.1122,14152671
2006-05-03,16.0695,16.148,15.9781,16.1411,8104165
2006-05-04,15.9989,16.2206,15.9919,16.148,10846929
2006-05-05,16.2832,16.313,16.148,16.2126,12171941
2006-05-08,16.3249,16.4025,16.2056,16.2743,8480236
2006-05-09,16.2683,16.3955,16.2474,16.3369,8621049
2006-05-10,16.1968,16.2474,15.7674,15.838,19778166
2006-05-11,15.8936,15.9015,15.2207,15.4622,20676496
2006-05-12,15.489,15.5119,15.1362,15.1849,19923647
2006-05-15,15.3061,15.499,15.1928,15.328,14308614
2006-05-16,15.6451,15.6888,15.3757,15.4552,14838788
2006-05-17,15.3419,15.3986,14.8171,14.9383,24517920
2006-05-18,15.0736,15.2137,14.6491,14.676,17730282
2006-05-19,14.8897,15.0298,14.7336,15.0089,11266829
2006-05-22,14.7694,14.8827,14.4921,14.7336,11040057
2006-05-23,15.159,15.4115,15.0438,15.0656,11875185
2006-05-24,15.1441,15.2207,14.6839,15.0298,12722614
2006-05-25,15.0736,15.2913,15.0736,15.1809,9950019
2006-05-26,15.4752,15.4752,15.3061,15.4354,7832716
2006-05-30,15.4414,15.4492,15.1014,15.1232,11911945
2006-05-31,15.1521,15.3201,15.0248,15.1849,11005275
2006-06-01,15.2495,15.6391,15.2336,15.6103,10635709
2006-06-02,15.8856,15.9154,15.3489,15.4264,22995544
2006-06-05,15.3847,15.3847,14.994,15.002,13747901
2006-06-06,14.7128,14.7336,14.4354,14.662,22542425
