Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2006-08-04,0.3809384650302635,0.3815492538565881,0.3566719376701808,0.36613404750823975,818232000,676250700,21.0,0.31,0.33,0.37,0.25,63.77,0.3 - 0.4 (57.2%),0.3 - 0.4 (65.3%),0.2 - 0.3 (43.4%),0.1 - 0.2 (56.9%)
2006-08-07,0.35972400536214416,0.36643987114336063,0.3548404786640298,0.36186128854751587,436146000,675561900,-35.44,0.31,0.33,0.37,0.25,62.13,0.3 - 0.4 (61.6%),0.3 - 0.4 (66.6%),0.2 - 0.3 (42.9%),0.1 - 0.2 (56.6%)
2006-08-08,0.3647606031553644,0.37926005380383443,0.3638448699227098,0.3714764714241028,619806000,676523100,-8.38,0.31,0.33,0.37,0.25,64.36,0.3 - 0.4 (69.7%),0.3 - 0.4 (68.0%),0.2 - 0.3 (42.7%),0.1 - 0.2 (56.2%)
2006-08-09,0.37880213036474664,0.3891799744655012,0.3685763216950779,0.37132346630096436,584706000,682706700,-14.35,0.32,0.33,0.37,0.25,64.29,0.3 - 0.4 (78.8%),0.3 - 0.4 (69.8%),0.2 - 0.3 (42.3%),0.1 - 0.2 (56.1%)
2006-08-10,0.3672027390524155,0.3708656167535771,0.36094565273992973,0.36872923374176025,1072140000,709284600,51.16,0.32,0.33,0.37,0.25,63.13,0.3 - 0.4 (84.7%),0.3 - 0.4 (72.8%),0.2 - 0.3 (41.8%),0.1 - 0.2 (56.0%)
2006-08-11,0.34186748266599826,0.3664398227864425,0.3406468331218437,0.3571297228336334,1603272000,760840800,110.72,0.33,0.33,0.37,0.25,58.1,0.3 - 0.4 (91.5%),0.3 - 0.4 (76.9%),0.3 - 0.4 (41.6%),0.1 - 0.2 (55.7%)
2006-08-14,0.36155548575281915,0.3652183631701227,0.35331402520914024,0.35529839992523193,809412000,776171100,4.28,0.33,0.33,0.37,0.25,57.32,0.3 - 0.4 (오류),0.3 - 0.4 (78.5%),0.3 - 0.4 (42.8%),0.1 - 0.2 (55.3%)
2006-08-15,0.3644555827392448,0.3914692571610002,0.36094564116988553,0.38948488235473633,902172000,772313100,16.81,0.34,0.33,0.37,0.25,66.37,0.3 - 0.4 (오류),0.3 - 0.4 (78.7%),0.3 - 0.4 (43.1%),0.1 - 0.2 (55.2%)
2006-08-16,0.3916221522456364,0.4190936785859668,0.381549280176905,0.41741424798965454,1029246000,770997900,33.5,0.34,0.33,0.37,0.25,71.66,0.3 - 0.4 (91.6%),0.3 - 0.4 (76.2%),0.3 - 0.4 (43.1%),0.1 - 0.2 (55.1%)
2006-08-17,0.4122258095224037,0.4230615060316796,0.40673149326217706,0.41085222363471985,814224000,786429000,3.53,0.35,0.33,0.37,0.25,68.91,0.3 - 0.4 (85.1%),0.3 - 0.4 (74.2%),0.3 - 0.4 (43.0%),0.1 - 0.2 (55.0%)
2006-08-18,0.4113101955388936,0.4197036389996131,0.3969636264564953,0.41756728291511536,665898000,788028000,-15.5,0.36,0.33,0.37,0.25,70.17,0.3 - 0.4 (79.4%),0.3 - 0.4 (72.4%),0.3 - 0.4 (43.0%),0.1 - 0.2 (54.9%)
