Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2020-09-30,10.0,11.40999984741211,9.109999656677246,9.5,338584400,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2020-10-01,9.6899995803833,10.100000381469727,9.229999542236328,9.460000038146973,124297600,0,0.0,,,,,0.0,기간 부족,기간 부족,기간 부족,기간 부족
2020-10-02,9.0600004196167,9.279999732971191,8.9399995803833,9.199999809265137,55018300,0,0.0,,,,,0.0,9.5 - 9.6 (65.4%),9.5 - 9.6 (65.4%),9.5 - 9.6 (65.4%),9.5 - 9.6 (65.4%)
2020-10-05,9.430000305175781,9.489999771118164,8.920000076293945,9.029999732971191,36316900,0,0.0,,,,,0.0,9.5 - 9.6 (61.1%),9.5 - 9.6 (61.1%),9.5 - 9.6 (61.1%),9.5 - 9.6 (61.1%)
2020-10-06,9.039999961853027,10.180000305175781,8.899999618530273,9.899999618530273,90864000,0,0.0,,,,,51.16,9.5 - 9.6 (52.5%),9.5 - 9.6 (52.5%),9.5 - 9.6 (52.5%),9.5 - 9.6 (52.5%)
2020-10-07,10.039999961853027,10.489999771118164,9.989999771118164,10.0,54672400,0,0.0,,,,,54.07,9.5 - 9.6 (48.4%),9.5 - 9.6 (48.4%),9.5 - 9.6 (48.4%),9.5 - 9.6 (48.4%)
2020-10-08,10.289999961853027,10.399999618530273,9.989999771118164,10.0,34989200,0,0.0,,,,,54.07,9.5 - 9.6 (46.1%),9.5 - 9.6 (46.1%),9.5 - 9.6 (46.1%),9.5 - 9.6 (46.1%)
2020-10-09,10.130000114440918,10.1899995803833,9.890000343322754,9.949999809265137,19653500,0,0.0,,,,,52.27,9.5 - 9.6 (44.9%),9.5 - 9.6 (44.9%),9.5 - 9.6 (44.9%),9.5 - 9.6 (44.9%)
2020-10-12,10.039999961853027,10.050000190734863,9.65999984741211,9.890000343322754,20623600,0,0.0,,,,,50.11,9.5 - 9.6 (43.7%),9.5 - 9.6 (43.7%),9.5 - 9.6 (43.7%),9.5 - 9.6 (43.7%)
2020-10-13,9.880000114440918,9.880000114440918,9.40999984741211,9.470000267028809,21847200,0,0.0,,,,,38.2,9.5 - 9.6 (42.5%),9.5 - 9.6 (42.5%),9.5 - 9.6 (42.5%),9.5 - 9.6 (42.5%)
2020-10-14,9.600000381469727,9.65999984741211,9.289999961853027,9.34000015258789,13652600,0,0.0,,,,,35.39,9.5 - 9.6 (41.8%),9.5 - 9.6 (41.8%),9.5 - 9.6 (41.8%),9.5 - 9.6 (41.8%)
2020-10-15,9.270000457763672,9.90999984741211,9.180000305175781,9.90999984741211,12924100,0,0.0,,,,,52.02,9.5 - 9.6 (41.1%),9.5 - 9.6 (41.1%),9.5 - 9.6 (41.1%),9.5 - 9.6 (41.1%)
2020-10-16,9.9399995803833,9.949999809265137,9.65999984741211,9.710000038146973,11142500,0,0.0,,,,,47.41,9.5 - 9.6 (40.6%),9.5 - 9.6 (40.6%),9.5 - 9.6 (40.6%),9.5 - 9.6 (40.6%)
2020-10-19,9.789999961853027,9.819999694824219,9.529999732971191,9.569999694824219,9126400,0,0.0,,,,,44.44,9.5 - 9.6 (41.2%),9.5 - 9.6 (41.2%),9.5 - 9.6 (41.2%),9.5 - 9.6 (41.2%)
2020-10-20,9.600000381469727,9.65999984741211,9.270000457763672,9.270000457763672,11138200,0,0.0,,,,,38.83,9.5 - 9.6 (40.7%),9.5 - 9.6 (40.7%),9.5 - 9.6 (40.7%),9.5 - 9.6 (40.7%)
2020-10-21,9.300000190734863,9.479999542236328,9.199999809265137,9.199999809265137,9190000,0,0.0,,,,,37.63,9.4 - 9.5 (27.8%),9.5 - 9.6 (40.2%),9.5 - 9.6 (40.2%),9.5 - 9.6 (40.2%)
2020-10-22,9.369999885559082,9.75,9.220000267028809,9.680000305175781,17928600,0,0.0,,,,,49.18,9.8 - 9.9 (26.6%),9.5 - 9.6 (39.4%),9.5 - 9.6 (39.4%),9.5 - 9.6 (39.4%)
2020-10-23,9.710000038146973,9.829999923706055,9.470000267028809,9.489999771118164,12618000,0,0.0,,,,,45.58,9.8 - 9.9 (29.6%),9.5 - 9.6 (38.9%),9.5 - 9.6 (38.9%),9.5 - 9.6 (38.9%)
2020-10-26,9.720000267028809,9.970000267028809,9.600000381469727,9.949999809265137,23767300,0,0.0,,,,,54.3,9.8 - 9.9 (30.6%),9.5 - 9.6 (37.9%),9.5 - 9.6 (37.9%),9.5 - 9.6 (37.9%)
2020-10-27,10.0,11.039999961853027,9.920000076293945,10.949999809265137,53695900,48602535,10.48,9.67,,,,66.76,10.0 - 10.2 (27.4%),9.4 - 9.6 (52.1%),9.5 - 9.6 (35.8%),9.5 - 9.6 (35.8%)
2020-10-28,10.65999984741211,10.984999656677246,10.100000381469727,10.850000381469727,30941700,33220400,-6.86,9.74,,,,64.85,10.8 - 11.0 (27.9%),9.4 - 9.6 (50.5%),9.5 - 9.6 (34.7%),9.5 - 9.6 (34.7%)
2020-10-29,10.899999618530273,11.100000381469727,10.5600004196167,10.75,20515700,28031305,-26.81,9.81,,,,62.92,10.8 - 11.0 (29.3%),9.4 - 9.6 (49.5%),9.5 - 9.6 (34.0%),9.5 - 9.6 (34.0%)
