Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2021-04-22,9.899999618530273,9.991000175476074,9.899999618530273,9.899999618530273,11800,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2021-04-23,9.920000076293945,9.920000076293945,9.899999618530273,9.90999984741211,11600,0,0.0,,,,,100.0,기간 부족,기간 부족,기간 부족,기간 부족
2021-04-26,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,100,0,0.0,,,,,100.0,9.8 - 9.9 (50.2%),9.8 - 9.9 (50.2%),9.8 - 9.9 (50.2%),9.8 - 9.9 (50.2%)
2021-04-27,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,0,0,0.0,,,,,100.0,9.8 - 9.9 (50.2%),9.8 - 9.9 (50.2%),9.8 - 9.9 (50.2%),9.8 - 9.9 (50.2%)
2021-04-28,9.90999984741211,9.90999984741211,9.899999618530273,9.90999984741211,12000,0,0.0,,,,,100.0,9.9 - 10.0 (66.8%),9.9 - 10.0 (66.8%),9.9 - 10.0 (66.8%),9.9 - 10.0 (66.8%)
2021-04-29,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,1100,0,0.0,,,,,100.0,9.9 - 10.0 (67.8%),9.9 - 10.0 (67.8%),9.9 - 10.0 (67.8%),9.9 - 10.0 (67.8%)
2021-04-30,9.90999984741211,9.930000305175781,9.899999618530273,9.930000305175781,2200,0,0.0,,,,,100.0,9.9 - 10.0 (69.6%),9.9 - 10.0 (69.6%),9.9 - 10.0 (69.6%),9.9 - 10.0 (69.6%)
2021-05-03,9.930000305175781,9.930000305175781,9.930000305175781,9.930000305175781,300,0,0.0,,,,,100.0,9.9 - 10.0 (69.8%),9.9 - 10.0 (69.8%),9.9 - 10.0 (69.8%),9.9 - 10.0 (69.8%)
2021-05-04,9.949999809265137,9.949999809265137,9.899999618530273,9.899999618530273,14000,0,0.0,,,,,76.81,9.9 - 10.0 (51.4%),9.9 - 10.0 (51.4%),9.9 - 10.0 (51.4%),9.9 - 10.0 (51.4%)
2021-05-05,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,6300,0,0.0,,,,,76.81,9.8 - 9.9 (54.0%),9.8 - 9.9 (54.0%),9.8 - 9.9 (54.0%),9.8 - 9.9 (54.0%)
2021-05-06,9.90999984741211,9.90999984741211,9.899999618530273,9.899999618530273,20000,0,0.0,,,,,76.81,9.8 - 9.9 (65.6%),9.8 - 9.9 (65.6%),9.8 - 9.9 (65.6%),9.8 - 9.9 (65.6%)
2021-05-07,9.899999618530273,9.90999984741211,9.899999618530273,9.899999618530273,18100,0,0.0,,,,,76.81,9.8 - 9.9 (72.0%),9.8 - 9.9 (72.0%),9.8 - 9.9 (72.0%),9.8 - 9.9 (72.0%)
