Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2021-11-10,106.75,119.45999908447266,95.19999694824219,100.7300033569336,103679500,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2021-11-11,114.625,125.0,108.01000213623047,122.98999786376953,83668200,0,0.0,,,,,100.0,기간 부족,기간 부족,기간 부족,기간 부족
2021-11-12,128.64500427246094,135.1999969482422,125.25,129.9499969482422,50636800,0,0.0,,,,,100.0,98.6 - 101.5 (43.6%),98.4 - 100.8 (43.6%),99.0 - 101.2 (43.6%),100.7 - 102.6 (43.6%)
2021-11-15,130.8000030517578,152.52999877929688,127.51000213623047,149.36000061035156,64982300,0,0.0,,,,,100.0,98.0 - 102.9 (34.2%),98.4 - 102.5 (34.2%),99.9 - 103.6 (34.2%),99.2 - 102.4 (34.2%)
2021-11-16,163.8000030517578,179.47000122070312,153.77999877929688,172.00999450683594,94036600,0,0.0,,,,,100.0,99.4 - 106.5 (26.1%),100.3 - 106.2 (26.1%),99.0 - 104.5 (26.1%),96.0 - 100.8 (26.1%)
2021-11-17,160.8800048828125,163.0,140.35000610351562,146.07000732421875,71765600,0,0.0,,,,,91.38,99.4 - 106.5 (22.1%),100.3 - 106.2 (22.1%),99.0 - 104.5 (22.1%),96.0 - 100.8 (22.1%)
2021-11-18,136.80999755859375,138.77999877929688,120.1500015258789,123.37999725341797,63603600,0,0.0,,,,,84.52,120.7 - 127.8 (27.7%),118.0 - 123.9 (27.7%),121.0 - 126.5 (27.7%),120.0 - 124.8 (27.7%)
2021-11-19,129.97999572753906,139.89999389648438,125.5999984741211,128.60000610351562,49479400,0,0.0,,,,,84.8,120.7 - 127.8 (25.3%),118.0 - 123.9 (25.3%),121.0 - 126.5 (25.3%),120.0 - 124.8 (25.3%)
2021-11-22,123.87999725341797,124.93000030517578,106.91000366210938,118.11000061035156,40993900,0,0.0,,,,,81.58,120.7 - 127.8 (23.6%),118.0 - 123.9 (30.2%),121.0 - 126.5 (23.6%),120.0 - 124.8 (23.6%)
2021-11-23,117.83000183105469,124.0,113.0,119.8499984741211,24967900,0,0.0,,,,,81.7,120.7 - 127.8 (22.7%),118.0 - 123.9 (32.9%),121.0 - 126.5 (22.7%),120.0 - 124.8 (22.7%)
