Date,Open,High,Low,Close,Volume,AvgVol20,VolDisp20,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2025-02-13,35.060001373291016,44.0,34.9900016784668,36.0,369100,0,0.0,,,,,,기간 부족,기간 부족,기간 부족,기간 부족
2025-02-14,37.0,38.25,35.505001068115234,36.650001525878906,242700,0,0.0,,,,,100.0,기간 부족,기간 부족,기간 부족,기간 부족
2025-02-18,40.529998779296875,47.150001525878906,39.0,47.150001525878906,444500,0,0.0,,,,,100.0,46.2 - 47.3 (42.1%),36.0 - 36.9 (57.9%),36.0 - 36.9 (57.9%),46.9 - 47.6 (42.1%)
2025-02-19,46.5099983215332,48.5,45.5,46.0,220700,0,0.0,,,,,93.87,46.2 - 47.3 (34.8%),36.0 - 36.9 (47.9%),36.0 - 36.9 (47.9%),46.9 - 47.6 (34.8%)
2025-02-20,48.97999954223633,49.4900016784668,46.709999084472656,48.2599983215332,446200,0,0.0,,,,,94.57,36.0 - 37.2 (35.5%),36.0 - 37.0 (35.5%),36.0 - 36.9 (35.5%),36.0 - 36.8 (35.5%)
2025-02-21,48.9900016784668,50.689998626708984,48.0,50.369998931884766,1252100,0,0.0,,,,,95.13,49.0 - 50.4 (42.1%),49.2 - 50.4 (42.1%),49.5 - 50.6 (42.1%),50.0 - 51.0 (42.1%)
2025-02-24,52.0,53.0,46.209999084472656,48.599998474121094,33848500,0,0.0,,,,,86.99,47.6 - 49.0 (93.1%),48.0 - 49.2 (93.1%),48.4 - 49.5 (91.9%),48.0 - 49.0 (93.1%)
2025-02-25,48.29999923706055,55.0099983215332,47.810001373291016,48.15999984741211,8198900,0,0.0,,,,,85.05,47.6 - 49.0 (94.4%),48.0 - 49.2 (94.4%),48.4 - 49.5 (75.2%),48.0 - 49.0 (94.4%)
2025-02-26,46.150001525878906,49.90999984741211,45.29999923706055,46.58000183105469,8389000,0,0.0,,,,,78.27,47.6 - 49.0 (79.6%),48.0 - 49.2 (79.6%),48.4 - 49.5 (63.4%),48.0 - 49.0 (79.6%)
2025-02-27,46.040000915527344,47.869998931884766,41.58000183105469,45.15999984741211,9676100,0,0.0,,,,,72.66,47.6 - 49.0 (67.4%),48.0 - 49.2 (67.4%),48.4 - 49.5 (53.7%),48.0 - 49.0 (67.4%)
2025-02-28,45.22999954223633,48.70000076293945,43.75,46.849998474121094,7713800,0,0.0,,,,,74.96,47.6 - 49.0 (60.0%),48.0 - 49.2 (60.0%),48.4 - 49.5 (47.8%),48.0 - 49.0 (60.0%)
2025-03-03,48.4900016784668,50.880001068115234,47.60499954223633,50.310001373291016,4813000,0,0.0,,,,,78.88,47.6 - 49.0 (56.2%),48.0 - 49.2 (56.2%),48.4 - 49.5 (44.8%),48.0 - 49.0 (56.2%)
2025-03-04,46.689998626708984,50.099998474121094,45.09700012207031,48.689998626708984,6074700,0,0.0,,,,,73.11,47.6 - 49.0 (59.5%),48.0 - 49.2 (59.5%),48.4 - 49.5 (48.9%),48.0 - 49.0 (59.5%)
2025-03-05,47.599998474121094,49.39799880981445,46.5,48.470001220703125,5071800,0,0.0,,,,,72.34,47.6 - 49.0 (61.8%),48.0 - 49.2 (61.8%),48.4 - 49.5 (51.9%),48.0 - 49.0 (61.8%)
2025-03-06,47.40999984741211,49.060001373291016,45.2400016784668,46.5,4157300,0,0.0,,,,,65.64,47.6 - 49.0 (59.2%),48.0 - 49.2 (59.0%),48.4 - 49.5 (49.5%),48.0 - 49.0 (59.0%)
2025-03-07,49.20000076293945,51.130001068115234,47.15999984741211,51.0,7825500,0,0.0,,,,,72.02,48.0 - 48.6 (48.5%),48.0 - 49.2 (54.3%),48.0 - 49.2 (54.3%),48.0 - 49.0 (54.3%)
2025-03-10,50.4900016784668,53.66999816894531,49.54999923706055,53.0,5223800,0,0.0,,,,,74.3,48.0 - 48.8 (51.9%),47.6 - 49.0 (51.6%),48.1 - 49.4 (51.6%),48.4 - 49.5 (43.3%)
2025-03-11,51.84000015258789,53.189998626708984,49.81999969482422,52.15999984741211,3153400,0,0.0,,,,,71.65,48.0 - 48.8 (50.6%),47.6 - 49.0 (50.1%),48.1 - 49.4 (50.1%),48.4 - 49.5 (42.0%)
2025-03-12,53.0,53.099998474121094,50.380001068115234,50.439998626708984,2177500,0,0.0,,,,,66.44,48.0 - 48.8 (49.7%),47.6 - 49.0 (49.1%),48.1 - 49.4 (49.1%),48.4 - 49.5 (41.2%)
2025-03-13,50.0,50.869998931884766,47.86000061035156,48.439998626708984,3547400,5642300,-37.13,47.44,,,,60.9,48.0 - 48.8 (51.1%),47.6 - 49.0 (50.7%),48.1 - 49.4 (50.7%),48.4 - 49.5 (43.0%)
2025-03-14,49.43000030517578,54.939998626708984,49.43000030517578,54.81999969482422,4847600,5866225,-17.36,48.38,,,,69.61,48.0 - 49.0 (49.5%),48.0 - 49.6 (48.6%),47.6 - 49.0 (48.6%),48.1 - 49.4 (48.6%)
2025-03-17,54.79999923706055,58.36000061035156,54.744998931884766,55.650001525878906,2930700,6000625,-51.16,49.33,,,,70.53,48.0 - 49.0 (27.3%),48.0 - 49.6 (47.4%),48.0 - 49.5 (47.4%),48.1 - 49.4 (47.4%)
2025-03-18,55.13999938964844,57.88999938964844,54.56999969482422,56.41999816894531,2587300,6107765,-57.64,49.79,,,,71.4,46.2 - 47.3 (25.9%),47.6 - 49.3 (46.4%),48.0 - 49.6 (46.4%),47.6 - 49.0 (46.4%)
2025-03-19,56.29999923706055,57.60499954223633,55.66999816894531,56.33000183105469,2520700,6222765,-59.49,50.31,,,,71.13,48.4 - 49.5 (20.3%),47.6 - 49.3 (45.5%),48.0 - 49.6 (45.5%),47.6 - 49.0 (45.5%)
2025-03-20,56.5099983215332,57.16999816894531,54.91999816894531,56.209999084472656,2701900,6335550,-57.35,50.71,,,,70.76,48.0 - 49.0 (22.5%),47.6 - 49.3 (44.5%),48.0 - 49.6 (44.5%),47.6 - 49.0 (44.5%)
2025-03-21,55.099998474121094,55.45000076293945,51.915000915527344,53.959999084472656,6372200,6591555,-3.33,50.89,,,,63.97,48.0 - 49.0 (23.0%),47.6 - 49.3 (42.4%),48.0 - 49.6 (42.4%),47.6 - 49.0 (42.4%)
2025-03-24,54.61000061035156,55.685001373291016,51.84000015258789,52.9900016784668,3562800,5077270,-29.83,51.11,,,,61.24,48.0 - 49.0 (23.4%),47.6 - 49.3 (41.3%),48.0 - 49.6 (41.3%),47.6 - 49.0 (41.3%)
2025-03-25,52.130001068115234,53.18000030517578,51.7599983215332,52.20000076293945,3079000,4821275,-36.14,51.31,,,,59.03,53.0 - 54.0 (19.4%),47.6 - 49.3 (40.4%),48.0 - 49.6 (40.4%),47.6 - 49.0 (40.4%)
2025-03-26,53.529998779296875,53.70000076293945,51.97999954223633,52.619998931884766,1242400,4463945,-72.17,51.61,,,,59.86,53.0 - 54.0 (20.7%),47.6 - 49.3 (40.1%),48.0 - 49.6 (40.1%),47.6 - 49.0 (40.1%)
2025-03-27,51.95000076293945,54.2400016784668,51.709999084472656,52.880001068115234,1618100,4061045,-60.16,52.0,,,,60.39,52.8 - 53.6 (19.5%),47.6 - 49.3 (39.6%),48.0 - 49.6 (39.6%),47.6 - 49.0 (39.6%)
2025-03-28,52.209999084472656,52.88999938964844,48.45500183105469,48.970001220703125,3987300,3874720,2.91,52.1,,,,49.68,52.8 - 53.6 (21.0%),47.6 - 49.3 (41.3%),48.0 - 49.6 (41.3%),47.6 - 49.0 (41.3%)
2025-03-31,47.40999984741211,48.39500045776367,47.02000045776367,47.61000061035156,2113400,3739740,-43.49,51.97,,,,46.59,52.2 - 53.1 (20.5%),47.6 - 49.3 (42.1%),48.0 - 49.6 (40.7%),47.6 - 49.0 (42.1%)
