Date,Open,High,Low,Close,Volume,SMA20,SMA60,SMA120,SMA480,RSI14,POC_20D_UltraShort,POC_90D_Short,POC_365D_Mid,POC_1095D_Long
2006-05-18,4.984587307344887,5.069751147366497,4.904433250427246,4.904433250427246,8555825,5.27,5.09,5.07,4.2,34.69,5.2 - 5.3 (20.4%),4.9 - 5.0 (18.2%),4.1 - 4.2 (10.6%),4.0 - 4.2 (16.0%)
2006-05-19,4.919462795210247,4.999616863370566,4.879385019306227,4.934491157531738,9277739,5.24,5.09,5.07,4.2,36.68,4.9 - 5.0 (24.7%),4.9 - 5.0 (18.8%),4.9 - 5.0 (11.0%),4.0 - 4.2 (15.9%)
2006-05-22,4.939501635343028,4.939501635343028,4.63391321813445,4.7391157150268555,13004486,5.21,5.09,5.07,4.21,30.23,4.9 - 5.0 (23.8%),4.9 - 5.0 (18.3%),4.9 - 5.0 (11.0%),4.0 - 4.2 (16.0%)
2006-05-23,4.809251850546505,4.909444587129778,4.769175052642822,4.769175052642822,9333326,5.19,5.08,5.07,4.21,32.2,4.9 - 5.0 (23.3%),4.9 - 5.0 (18.4%),4.9 - 5.0 (10.9%),4.0 - 4.2 (16.0%)
2006-05-24,4.784202287459633,4.8092507129551265,4.658961643629944,4.7391157150268555,11626598,5.16,5.08,5.07,4.21,31.25,4.9 - 5.0 (22.8%),4.7 - 4.8 (19.1%),4.9 - 5.0 (10.9%),4.0 - 4.2 (15.9%)
2006-05-25,4.734107111414458,4.804241624954111,4.689020037900493,4.749135971069336,8362459,5.13,5.07,5.07,4.21,31.97,4.7 - 4.8 (25.0%),4.7 - 4.8 (20.6%),4.9 - 5.0 (10.9%),4.0 - 4.2 (15.9%)
2006-05-26,4.734106750096005,4.749135608603844,4.658961963007515,4.689019680023193,7796957,5.1,5.07,5.07,4.21,29.94,4.7 - 4.8 (25.9%),4.7 - 4.8 (20.6%),4.9 - 5.0 (10.9%),4.0 - 4.2 (15.9%)
2006-05-30,4.689019142243655,4.729095928818423,4.648941861119651,4.653951644897461,8867302,5.07,5.06,5.06,4.22,28.79,4.7 - 4.8 (28.4%),4.7 - 4.8 (20.8%),4.9 - 5.0 (10.9%),4.0 - 4.2 (16.0%)
2006-05-31,4.704049502786766,4.749136582101716,4.6589629180212135,4.744126796722412,8621143,5.04,5.06,5.06,4.22,35.64,4.7 - 4.8 (34.4%),4.7 - 4.8 (22.3%),4.9 - 5.0 (10.8%),4.0 - 4.2 (16.0%)
2006-06-01,4.759155336762974,4.869367145815544,4.754145551722151,4.849328994750977,6816670,5.02,5.06,5.06,4.22,42.57,4.7 - 4.8 (35.8%),4.7 - 4.8 (22.5%),4.9 - 5.0 (10.8%),4.0 - 4.2 (16.0%)
2006-06-02,4.909442538982043,4.9395007430566835,4.86435597469384,4.904433250427246,7646446,4.99,5.07,5.06,4.22,45.87,4.7 - 4.8 (37.6%),4.7 - 4.8 (22.6%),4.9 - 5.0 (11.1%),4.0 - 4.2 (16.0%)
2006-06-05,4.809251121512216,4.809251121512216,4.633913611796208,4.648942470550537,8219402,4.94,5.07,5.06,4.23,35.66,4.7 - 4.8 (39.4%),4.7 - 4.8 (22.6%),4.9 - 5.0 (11.2%),4.0 - 4.2 (16.1%)
2006-06-06,4.699039883885141,4.709058959394855,4.588827580531481,4.6639723777771,9671613,4.89,5.06,5.06,4.23,36.56,4.7 - 4.8 (39.7%),4.7 - 4.8 (20.5%),4.9 - 5.0 (11.1%),4.0 - 4.2 (16.1%)
2006-06-07,4.653953109770397,4.699040188863769,4.573799016842414,4.578808307647705,7395319,4.85,5.06,5.05,4.23,33.7,4.7 - 4.8 (40.7%),4.7 - 4.8 (18.7%),4.9 - 5.0 (11.1%),4.0 - 4.2 (16.1%)
2006-06-08,4.463585514347648,4.528711222918726,4.333335580853277,4.5136823654174805,17503351,4.82,5.05,5.05,4.23,31.66,4.7 - 4.8 (38.0%),4.7 - 4.8 (16.6%),4.9 - 5.0 (11.1%),4.0 - 4.2 (16.0%)
2006-06-09,4.603855583846198,4.633913299328042,4.398460865020752,4.398460865020752,13432417,4.78,5.04,5.05,4.24,28.39,4.7 - 4.8 (36.8%),4.7 - 4.8 (16.5%),4.9 - 5.0 (11.0%),4.0 - 4.2 (16.0%)
2006-06-12,4.4084795775379275,4.453566646674519,4.3132966441149625,4.318306922912598,10423857,4.74,5.04,5.05,4.24,26.35,4.7 - 4.8 (28.0%),4.7 - 4.8 (16.4%),4.9 - 5.0 (11.1%),4.0 - 4.2 (16.1%)
2006-06-13,4.308287372455485,4.333335799252839,4.233142586612711,4.243162155151367,8022620,4.7,5.03,5.04,4.24,24.56,4.6 - 4.7 (25.7%),4.7 - 4.8 (16.4%),4.9 - 5.0 (11.0%),4.0 - 4.2 (16.1%)
2006-06-14,4.473605059818023,4.488633917243468,4.388441204707663,4.458576202392578,9503298,4.67,5.02,5.04,4.24,37.6,4.6 - 4.7 (26.1%),4.7 - 4.8 (16.3%),4.9 - 5.0 (11.0%),4.0 - 4.2 (16.0%)
2006-06-15,4.458576264109947,4.593836477360536,4.4235087647820714,4.568788051605225,16352161,4.65,5.02,5.03,4.25,43.02,4.5 - 4.6 (29.4%),4.7 - 4.8 (16.2%),4.9 - 5.0 (10.9%),4.0 - 4.2 (16.0%)
2006-06-16,4.603855936042014,4.608865720521994,4.4736054959569955,4.553759574890137,6680858,4.64,5.02,5.03,4.25,42.48,4.5 - 4.6 (34.4%),4.7 - 4.8 (14.7%),4.9 - 5.0 (10.9%),4.0 - 4.2 (16.0%)
2006-06-19,4.563779568858724,4.603856364782851,4.51368320304155,4.518692493438721,6464305,4.62,5.01,5.03,4.25,41.17,4.5 - 4.6 (37.4%),5.2 - 5.3 (14.7%),4.9 - 5.0 (11.0%),4.0 - 4.2 (16.0%)
2006-06-20,4.567613124847412,4.589183715409025,4.481329728883104,4.567613124847412,6917314,4.61,5.01,5.02,4.25,43.77,4.5 - 4.6 (42.7%),5.2 - 5.3 (14.7%),4.9 - 5.0 (11.0%),4.0 - 4.2 (16.0%)
2006-06-21,4.567614348677733,4.745573060639983,4.524472639136342,4.670074939727783,8159695,4.6,5.0,5.02,4.26,48.85,4.5 - 4.6 (42.8%),5.2 - 5.3 (14.7%),4.9 - 5.0 (10.9%),4.0 - 4.2 (16.0%)
